Material_Id,Time id,Forecasted Quantity
1708.0,37.0,13.08332834456109
1708.0,38.0,10.336682277863636
1708.0,39.0,12.887138878657312
1708.0,40.0,12.887138539178196
1708.0,41.0,12.887138229660941
1708.0,42.0,12.887137942381132
1708.0,43.0,12.88713756605453
1708.0,44.0,12.887137412018177
2425.0,37.0,51.363977103782744
2425.0,38.0,48.04194205217428
2425.0,39.0,48.00110309078869
2425.0,40.0,48.26872656500038
2425.0,41.0,48.016566127756235
2425.0,42.0,47.84390326613225
2425.0,43.0,48.316237855603326
2425.0,44.0,47.493343294906744
6324.0,37.0,6.947704757268227
6324.0,38.0,9.738253649418033
6324.0,39.0,8.334706385300473
6324.0,40.0,8.33470599587499
6324.0,41.0,6.142577439003635
6324.0,42.0,8.883456377572626
6324.0,43.0,7.800982763659654
6324.0,44.0,9.49817100916163
6587.0,37.0,151.0
6587.0,38.0,151.0
6587.0,39.0,151.0
6587.0,40.0,151.0
6587.0,41.0,151.0
6587.0,42.0,151.0
6587.0,43.0,151.0
6587.0,44.0,150.80521495247035
7385.0,37.0,59.24999466320451
7385.0,38.0,59.24999427442203
7385.0,39.0,59.24999389985565
7385.0,40.0,59.24999356432444
7385.0,41.0,59.24999345300875
7385.0,42.0,59.24999465504342
7385.0,43.0,59.249993122339234
7385.0,44.0,59.24999276043572
7413.0,37.0,77.49999512278569
7413.0,38.0,77.49999464391831
7413.0,39.0,77.49999426045942
7413.0,40.0,78.74405902545676
7413.0,41.0,79.25265562528273
7413.0,42.0,79.46564125521839
7413.0,43.0,79.55871403823487
7413.0,44.0,79.60246171935206
11101.0,37.0,5.392156968537544
11101.0,38.0,6.203678869783013
11101.0,39.0,6.251019065327452
11101.0,40.0,6.217826342084724
11101.0,41.0,6.251009741972824
11101.0,42.0,6.2272702653695315
11101.0,43.0,6.252925625189458
11101.0,44.0,6.233895442005385
14426.0,37.0,28.460468256150453
14426.0,38.0,24.048664450723184
14426.0,39.0,22.352930718004345
14426.0,40.0,22.99019256083179
14426.0,41.0,24.382539512043014
14426.0,42.0,25.307423338964735
14426.0,43.0,25.44402753540283
14426.0,44.0,25.109343836932013
15905.0,37.0,9.454540544434312
15905.0,38.0,9.454525376100985
15905.0,39.0,9.45453853806907
15905.0,40.0,9.45453817913497
15905.0,41.0,9.454538090927565
15905.0,42.0,9.454537785262865
15905.0,43.0,9.454537498299715
15905.0,44.0,9.45453722729007
18176.0,37.0,4.545449459654639
18176.0,38.0,4.545449247565072
18176.0,39.0,4.666839854673633
18176.0,40.0,4.615698868180284
18176.0,41.0,4.638018177412094
18176.0,42.0,4.6287592781709135
18176.0,43.0,4.633056338534436
18176.0,44.0,4.631437623233037
18997.0,37.0,16.79999508689747
18997.0,38.0,16.79999464531053
18997.0,39.0,16.799994303012213
18997.0,40.0,16.799993915183368
18997.0,41.0,16.799993577603406
18997.0,42.0,16.799993140441895
18997.0,43.0,16.79999286586139
18997.0,44.0,16.799992575827883
22297.0,37.0,11.499994923378452
22297.0,38.0,11.499994458582014
22297.0,39.0,11.499993825575173
22297.0,40.0,11.499993427455626
22297.0,41.0,11.499993050617526
22297.0,42.0,11.499992707926449
22297.0,43.0,11.499992524073944
22297.0,44.0,11.499992098456744
